Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
A/chicken/Wisconsin/22-007545-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.91%, 100.00%, 100.00%, 99.82%, 99.87%, 99.79%, 99.95%	3, 2, 0, 0, 3, 2, 3, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/black_vulture/Pennsylvania/22-018576-001/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.74%, 99.69%, 99.64%, 99.90%, 99.47%, 99.80%, 99.64%, 99.81%	6, 7, 3, 1, 9, 3, 5, 4	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/turkey/Wisconsin/22-013447-001/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.69%, 99.69%, 99.88%, 99.80%, 99.82%, 99.80%, 99.79%, 99.86%	7, 7, 1, 2, 3, 3, 3, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/Turkey/Chile/248976-12/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.12%, 99.25%, 99.28%, 99.29%, 97.80%, 99.06%, 99.29%, 99.35%	20, 17, 6, 7, 39, 14, 10, 14	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/South_American_tern/Maule/238507/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.52%, 99.34%, 99.05%, 99.39%, 99.24%, 99.13%, 99.22%, 99.58%	11, 15, 8, 6, 13, 13, 11, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-52
A/snowy_owl/MA/22MM00323/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.74%, 99.78%, 99.76%, 99.90%, 99.65%, 99.87%, 99.86%, 99.77%	6, 5, 2, 1, 6, 2, 2, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/chicken/Nuble/241681-1/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.34%, 99.08%, 99.40%, 99.08%, 99.24%, 99.33%, 99.29%, 99.58%	15, 21, 5, 9, 13, 10, 10, 9	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Turkey/Chile/240489-1/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.34%, 99.08%, 99.28%, 99.39%, 97.97%, 99.20%, 99.36%, 99.72%	15, 21, 6, 6, 36, 12, 9, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/Backyard_bird/Illinois/USDA-009720-001/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.69%, 99.82%, 99.76%, 100.00%, 99.94%, 99.80%, 99.93%, 99.91%	7, 4, 2, 0, 1, 3, 1, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/herring_gull/Maine/22-036180-006/2022	A2	PB2:ea1, PB1:ea2, NS:ea1, MP:ea1, HA:ea2, NP:ea1, NA:ea2, PA:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea2:22-008064-001:NA, ea1:22-003707-003:PA	99.52%, 100.00%, 99.40%, 99.69%, 99.71%, 99.47%, 99.72%, 99.63%	11, 0, 5, 3, 5, 8, 4, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/common_eider/Massachusetts/22-020416-008/2022	A2	PB2:ea1, PB1:ea2, NS:ea1, MP:ea1, HA:ea2, NP:ea1, NA:ea2, PA:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea2:22-008064-001:NA, ea1:22-003707-003:PA	99.56%, 99.91%, 99.52%, 99.69%, 99.59%, 99.47%, 99.72%, 99.67%	10, 2, 4, 3, 7, 8, 4, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/american_wigeon/Tennessee/22-024871-016/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.96%, 100.00%, 100.00%, 100.00%, 99.94%, 100.00%, 99.86%, 100.00%	1, 0, 0, 0, 1, 0, 2, 0	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/bald_eagle/Wisconsin/22-016701-001/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.69%, 99.78%, 99.52%, 99.90%, 99.77%, 99.80%, 99.72%, 99.91%	7, 5, 4, 1, 4, 3, 4, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/American_Wigeon/North_Carolina/USDA-001330-023/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.91%, 99.88%, 99.90%, 99.77%, 100.00%, 99.93%, 99.86%	2, 2, 1, 1, 4, 0, 1, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-53
A/turkey/South_Dakota/USDA-009330-002/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.91%, 99.76%, 99.80%, 99.88%, 99.93%, 99.79%, 99.91%	4, 2, 2, 2, 2, 1, 3, 2	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/chicken/Cochabamba/39425/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.43%, 99.25%, 99.17%, 99.19%, 97.86%, 99.13%, 99.22%, 99.40%	13, 17, 7, 8, 38, 13, 11, 13	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/turkey/North_Carolina/USDA-010145-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.69%, 99.64%, 100.00%, 99.71%, 99.80%, 99.64%, 99.53%	2, 7, 3, 0, 5, 3, 5, 10	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/chicken/Pennsylvania/22-015036-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 99.78%, 99.64%, 99.80%, 99.53%, 99.13%, 99.86%, 99.63%	4, 5, 3, 2, 8, 13, 2, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/brown_booby/Peru/23-005629-003/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.52%, 99.34%, 99.28%, 99.49%, 99.24%, 99.27%, 99.50%, 99.63%	11, 15, 6, 5, 13, 11, 7, 8	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/great_black-backed_gull/Maine/22-022526-007/2022	A2	PB2:ea1, PB1:ea2, NS:ea1, MP:ea1, HA:ea2, NP:ea1, NA:ea2, PA:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea2:22-008064-001:NA, ea1:22-003707-003:PA	99.47%, 99.82%, 99.52%, 99.80%, 99.47%, 99.47%, 99.50%, 99.67%	12, 4, 4, 2, 9, 8, 7, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/turkey_vulture/Washington/22-023551-001/2022	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.3, NA:ea1, PA:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.69%, 99.82%, 99.64%, 99.69%, 99.71%, 99.80%, 99.72%, 99.72%	7, 4, 3, 3, 5, 3, 4, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/turkey/Valparaiso/245562-1/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.12%, 99.30%, 99.40%, 99.39%, 97.86%, 98.93%, 99.36%, 99.44%	20, 16, 5, 6, 38, 16, 9, 12	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/Gadwall/North_Carolina/USDA-003150-010/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.91%, 99.88%, 99.80%, 99.71%, 99.93%, 99.72%, 99.86%	2, 2, 1, 2, 5, 1, 4, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/backyard_chicken/Uruguay/UDELAR-127-M4/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.30%, 99.03%, 99.17%, 99.29%, 99.12%, 99.13%, 99.22%, 99.53%	16, 22, 7, 7, 15, 13, 11, 10	Ran on FASTA - No Coverage Report	2026-05-29_14-48-54
A/South_American_tern/Argentina/CH-PD030/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.34%, 99.12%, 98.93%, 99.38%, 99.12%, 99.06%, 99.43%, 99.40%	15, 20, 9, 6, 15, 14, 8, 13	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/turkey/South_Dakota/22-007534-002/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.91%, 99.64%, 100.00%, 99.77%, 99.73%, 99.86%, 99.81%	2, 2, 3, 0, 4, 4, 2, 4	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/backyard_chicken/Uruguay/UDELAR-040-M7/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.43%, 99.16%, 98.93%, 99.29%, 99.24%, 99.13%, 99.29%, 99.67%	13, 19, 9, 7, 13, 13, 10, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/Backyard_bird/Michigan/USDA-005440-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.96%, 99.88%, 99.90%, 99.82%, 99.87%, 99.93%, 99.95%	3, 1, 1, 1, 3, 2, 1, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/Snow_Goose/Missouri/USDA-012338-015/2022	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:am1.1, NA:ea1, PA:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.91%, 99.82%, 99.76%, 100.00%, 99.82%, 99.87%, 99.93%, 99.86%	2, 4, 2, 0, 3, 2, 1, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/double_crested_cormorant/Minnesota/22-018423-005/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.56%, 99.65%, 99.76%, 99.59%, 99.59%, 99.67%, 99.36%, 99.77%	10, 8, 2, 4, 7, 5, 9, 5	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/Numida_meleagris/Santa_Catarina/1843-N3/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.34%, 99.08%, 99.40%, 99.39%, 98.36%, 98.80%, 98.94%, 99.26%	15, 21, 5, 6, 28, 18, 15, 16	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/chicken/Cochabamba/39507/2023	Not assigned: Only 6 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:EPI-ISL-20215425:PA	98.47%, 99.22%, 99.05%, 99.29%, 97.92%, 99.20%, 99.29%, 95.32%	11, 7, 8, 7, 37, 12, 10, 12	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/American_Wigeon/South_Carolina/22-000345-001/2021	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.83%, 100.00%, 99.88%, 100.00%, 99.82%, 99.93%, 99.79%, 99.95%	4, 0, 1, 0, 3, 1, 3, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/goose/Barueri/LEIAL5803/2025	Not assigned: Only 5 segments >98.0% match found of total 8 segments in input file	NS:am1.1, MP:ea1, HA:ea1, NA:ea1, PA:ea1	am7:22-035442-001:PB2, am12:23-004320-002:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:24-009110-019:HA, am5:23-013078-002:NP, ea1:24-009110-019:NA, ea1:22-003707-003:PA	90.31%, 96.17%, 98.45%, 98.27%, 98.65%, 92.52%, 98.86%, 99.02%	219, 87, 13, 17, 23, 112, 16, 21	Ran on FASTA - No Coverage Report	2026-05-29_14-48-55
A/Lesser_Scaup/Georgia/USDA-006543-005/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.96%, 99.87%, 99.76%, 99.90%, 99.71%, 100.00%, 99.86%, 99.81%	1, 3, 2, 1, 5, 0, 2, 4	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/Wood_Duck/North_Carolina/USDA-003829-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.87%, 99.96%, 99.76%, 100.00%, 99.82%, 99.73%, 99.86%, 99.86%	3, 1, 2, 0, 3, 4, 2, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/common_eider/Massachusetts/22-020416-011/2022	A2	PB2:ea1, PB1:ea2, NS:ea1, MP:ea1, HA:ea2, NP:ea1, NA:ea2, PA:ea1	ea1:22-003707-003:PB2, ea2:22-036180-006:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea2:22-008064-001:HA, ea1:22-003707-003:NP, ea2:22-008064-001:NA, ea1:22-003707-003:PA	99.47%, 99.96%, 99.40%, 99.80%, 99.65%, 99.40%, 99.57%, 99.67%	12, 1, 5, 2, 6, 9, 6, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/black_vulture/Pennsylvania/22-017504-001/2022	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, MP:ea1, HA:ea1, NP:am1.2, NA:ea1, PA:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.69%, 99.78%, 99.64%, 99.90%, 99.59%, 99.87%, 99.86%, 99.86%	7, 5, 3, 1, 7, 2, 2, 3	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/American_White_Pelican/Iowa/USDA-011101-001/2022	A1	PB2:ea1, PB1:ea1, NS:ea1, MP:ea1, HA:ea1, NP:ea1, NA:ea1, PA:ea1	ea1:22-003707-003:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, ea1:22-003707-003:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.65%, 99.96%, 99.76%, 99.80%, 99.53%, 99.80%, 99.86%, 99.72%	8, 1, 2, 2, 8, 3, 2, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/duck/Minnesota/22-014295-003/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.78%, 99.78%, 100.00%, 99.80%, 99.77%, 99.93%, 99.64%, 99.95%	5, 5, 0, 2, 4, 1, 5, 1	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/chicken/Chile/241517/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.34%, 99.21%, 99.40%, 99.29%, 97.86%, 99.00%, 99.29%, 99.49%	15, 18, 5, 7, 38, 15, 10, 11	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/Pelican/OHiggins/233721-1/2023	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.43%, 99.25%, 99.28%, 99.49%, 97.86%, 99.20%, 99.29%, 99.67%	13, 17, 6, 5, 38, 12, 10, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/chicken/Peru/23-005607-002/2022	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.47%, 99.38%, 99.40%, 99.49%, 99.30%, 99.27%, 99.50%, 99.72%	12, 14, 5, 5, 12, 11, 7, 6	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
A/Inca_tern/Antofagasta/238083/2023	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, MP:ea1, HA:ea1, NP:am1.4.1, NA:ea1, PA:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:MP, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:NA, ea1:22-003707-003:PA	99.39%, 99.30%, 98.81%, 99.29%, 99.12%, 99.20%, 99.43%, 99.67%	14, 16, 10, 7, 15, 12, 8, 7	Ran on FASTA - No Coverage Report	2026-05-29_14-48-56
