Strain	Genotype	Genotype List Used, >=98.0%	Genotype Sample Title List	Genotype Percent Match List	Genotype Mismatch List	Genotype Average Depth of Coverage List	Date run
EPI_ISL_19607696	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.3, MP:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:MP	99.78%, 99.87%, 99.76%, 99.43%, 99.95%, 99.77%, 99.87%, 100.00%	5, 3, 2, 8, 1, 4, 2, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-01
EPI_ISL_19608036	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.65%, 99.78%, 99.76%, 99.86%, 99.77%, 99.30%, 99.87%, 99.90%	8, 5, 2, 2, 5, 12, 2, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_19608069	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.74%, 99.74%, 99.88%, 99.79%, 99.81%, 99.53%, 99.80%, 99.59%	6, 6, 1, 3, 4, 8, 3, 4	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_19608070	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.69%, 99.74%, 99.88%, 99.79%, 99.86%, 99.53%, 99.73%, 99.39%	7, 6, 1, 3, 3, 8, 4, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-02
EPI_ISL_19608077	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.3, MP:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:MP	99.78%, 99.82%, 99.64%, 99.72%, 99.81%, 99.77%, 100.00%, 99.90%	5, 4, 3, 4, 4, 4, 0, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_19608080	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.83%, 99.78%, 99.88%, 99.36%, 99.72%, 99.71%, 100.00%, 99.69%	4, 5, 1, 9, 6, 5, 0, 3	Ran on FASTA - No Coverage Report	2026-06-01_16-10-03
EPI_ISL_19608081	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.83%, 99.82%, 99.88%, 99.36%, 99.72%, 99.71%, 99.93%, 99.59%	4, 4, 1, 9, 6, 5, 1, 4	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
EPI_ISL_19608084	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.3, MP:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:MP	99.74%, 99.82%, 99.76%, 99.79%, 99.95%, 99.77%, 99.93%, 99.90%	6, 4, 2, 3, 1, 4, 1, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
EPI_ISL_19608046	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.56%, 99.25%, 99.17%, 99.22%, 99.77%, 99.24%, 99.67%, 99.49%	10, 17, 7, 11, 5, 13, 5, 5	Ran on FASTA - No Coverage Report	2026-06-01_16-10-04
EPI_ISL_19608056	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.83%, 99.82%, 99.76%, 99.86%, 99.81%, 99.71%, 99.80%, 100.00%	4, 4, 2, 2, 4, 5, 3, 0	Ran on FASTA - No Coverage Report	2026-06-01_16-10-05
EPI_ISL_19608057	B2.1	PB2:am1.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.1, MP:ea1	am1.2:22-007805-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	99.78%, 99.82%, 99.76%, 99.72%, 99.81%, 99.65%, 99.67%, 99.90%	5, 4, 2, 4, 4, 6, 5, 1	Ran on FASTA - No Coverage Report	2026-06-01_16-10-05
EPI_ISL_19608059	B4.1	PB2:am2.2, PB1:ea1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.3, MP:ea1	am2.2:22-010445-001:PB2, ea1:22-003707-003:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.3:22-010445-001:NP, ea1:22-003707-003:MP	99.69%, 99.74%, 99.52%, 99.57%, 99.67%, 99.41%, 99.73%, 99.80%	7, 6, 4, 6, 7, 10, 4, 2	Ran on FASTA - No Coverage Report	2026-06-01_16-10-05
EPI_ISL_19608060	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.65%, 99.60%, 99.52%, 99.72%, 99.77%, 99.65%, 99.47%, 99.69%	8, 9, 4, 4, 5, 6, 8, 3	Ran on FASTA - No Coverage Report	2026-06-01_16-10-06
EPI_ISL_19608141	B1.1	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:ea1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.83%, 99.74%, 99.64%, 99.79%, 99.58%, 99.53%, 99.73%, 99.69%	4, 6, 3, 3, 9, 8, 4, 3	Ran on FASTA - No Coverage Report	2026-06-01_16-10-06
EPI_ISL_19608091	B1.2	PB2:am1.1, PB1:am1.1, NS:ea1, NA:ea1, PA:am1, HA:ea1, NP:am1.2, MP:ea1	am1.1:22-009287-001:PB2, am1.1:22-009287-001:PB1, ea1:22-003707-003:NS, ea1:22-003707-003:NA, am1:22-008890-001:PA, ea1:22-003707-003:HA, am1.2:22-009287-001:NP, ea1:22-003707-003:MP	99.61%, 99.52%, 99.64%, 99.72%, 99.72%, 99.71%, 99.47%, 99.69%	9, 11, 3, 4, 6, 5, 8, 3	Ran on FASTA - No Coverage Report	2026-06-01_16-10-06
EPI_ISL_17885958	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.21%, 99.52%, 99.36%, 99.53%, 99.06%, 99.00%, 99.39%	15, 18, 4, 9, 10, 16, 15, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-07
EPI_ISL_17885954	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.21%, 99.52%, 99.01%, 99.63%, 99.00%, 99.13%, 99.39%	14, 18, 4, 14, 8, 17, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-07
EPI_ISL_17885952	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.21%, 99.52%, 99.22%, 99.63%, 99.00%, 99.13%, 99.39%	14, 18, 4, 11, 8, 17, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-07
EPI_ISL_17885949	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.30%, 99.52%, 99.36%, 99.67%, 99.12%, 98.86%, 99.29%	15, 16, 4, 9, 7, 15, 17, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-07
EPI_ISL_17885946	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.30%, 99.40%, 99.08%, 99.63%, 99.00%, 99.06%, 99.19%	14, 16, 5, 13, 8, 17, 14, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-08
EPI_ISL_17885945	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.12%, 99.52%, 99.29%, 99.67%, 98.94%, 99.13%, 99.39%	14, 20, 4, 10, 7, 18, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-08
EPI_ISL_18760073	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.03%, 99.05%, 99.15%, 99.49%, 97.86%, 99.13%, 99.29%	15, 22, 8, 12, 11, 38, 13, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-08
EPI_ISL_18760074	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.47%, 99.38%, 99.28%, 99.43%, 99.58%, 97.97%, 99.13%, 99.49%	12, 14, 6, 8, 9, 36, 13, 5	Ran on FASTA - No Coverage Report	2026-06-01_16-10-09
EPI_ISL_19404916	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 99.03%, 99.40%, 99.29%, 99.67%, 97.80%, 99.13%, 99.39%	16, 22, 5, 10, 7, 39, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-09
EPI_ISL_17353507	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 99.43%, 99.64%, 99.42%, 99.77%, 99.30%, 99.73%, 99.08%	17, 13, 3, 8, 5, 12, 4, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-10-09
EPI_ISL_19752381	Not assigned: Only 3 segments >98.0% match found of total 7 segments in input file	NA:ea1, NP:am1.1, MP:ea1	am23:24-010726-001:PB2, am2:22-031266-001:PB1, am1.3:22-008760-007:NS, ea1:22-003707-003:NA, ea1b:23-002693-004:PA, am1.1:22-007805-001:NP, ea1:22-003707-003:MP	83.17%, 89.14%, 91.77%, 98.30%, 85.96%, 98.40%, 98.88%	382, 245, 69, 24, 302, 24, 11	Ran on FASTA - No Coverage Report	2026-06-01_16-10-09
EPI_ISL_20444503	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.08%, 99.40%, 99.29%, 99.58%, 98.03%, 99.33%, 99.19%	15, 21, 5, 10, 9, 35, 10, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-10
EPI_ISL_20444502	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.21%, 99.40%, 99.29%, 99.58%, 97.97%, 99.13%, 99.29%	14, 18, 5, 10, 9, 36, 13, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-10
EPI_ISL_20444501	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.21%, 99.40%, 99.29%, 99.58%, 97.97%, 99.13%, 99.39%	14, 18, 5, 10, 9, 36, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-10
EPI_ISL_20444500	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.21%, 99.40%, 99.29%, 99.49%, 97.97%, 99.13%, 99.39%	14, 18, 5, 10, 11, 36, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_20444499	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.21%, 99.40%, 99.29%, 99.49%, 97.86%, 99.00%, 99.29%	15, 18, 5, 10, 11, 38, 15, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_20444505	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.08%, 99.40%, 99.29%, 99.63%, 98.03%, 99.33%, 99.19%	15, 21, 5, 10, 8, 35, 10, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_20444498	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.08%, 99.40%, 99.29%, 99.58%, 98.03%, 99.33%, 99.19%	15, 21, 5, 10, 9, 35, 10, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-11
EPI_ISL_20444496	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.12%, 99.40%, 99.29%, 99.58%, 98.03%, 99.33%, 99.19%	15, 20, 5, 10, 9, 35, 10, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-12
EPI_ISL_20444495	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.08%, 99.40%, 99.29%, 99.63%, 98.03%, 99.33%, 99.08%	15, 21, 5, 10, 8, 35, 10, 9	Ran on FASTA - No Coverage Report	2026-06-01_16-10-12
EPI_ISL_20444494	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.25%, 99.40%, 99.22%, 99.77%, 97.75%, 99.13%, 99.29%	14, 17, 5, 11, 5, 40, 13, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_20444492	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.25%, 99.40%, 99.22%, 99.77%, 97.75%, 99.13%, 99.29%	15, 17, 5, 11, 5, 40, 13, 7	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_20444491	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.08%, 99.17%, 99.22%, 99.67%, 99.30%, 99.06%, 99.39%	14, 21, 7, 11, 7, 12, 14, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_20444457	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:22-003707-003:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.08%, 99.17%, 99.22%, 99.67%, 99.30%, 99.06%, 99.39%	15, 21, 7, 11, 7, 12, 14, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-13
EPI_ISL_20444456	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.34%, 99.03%, 99.05%, 99.22%, 99.63%, 97.92%, 99.27%, 99.19%	15, 22, 8, 11, 8, 37, 11, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-14
EPI_ISL_20444455	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 98.99%, 99.28%, 99.29%, 99.63%, 98.03%, 99.20%, 99.39%	16, 23, 6, 10, 8, 35, 12, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-14
EPI_ISL_20444454	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.30%, 98.99%, 99.28%, 99.29%, 99.58%, 98.03%, 99.20%, 99.49%	16, 23, 6, 10, 9, 35, 12, 5	Ran on FASTA - No Coverage Report	2026-06-01_16-10-14
EPI_ISL_20444438	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.47%, 99.25%, 98.93%, 99.29%, 99.49%, 97.80%, 99.13%, 99.39%	12, 17, 9, 10, 11, 39, 13, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-15
EPI_ISL_20444439	B3.2	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, HA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.39%, 99.03%, 99.17%, 99.29%, 99.58%, 98.03%, 99.20%, 99.39%	14, 22, 7, 10, 9, 35, 12, 6	Ran on FASTA - No Coverage Report	2026-06-01_16-10-15
EPI_ISL_20444440	Not assigned: Only 7 segments >98.0% match found of total 8 segments in input file	PB2:am2.1, PB1:am1.2, NS:am1.1, NA:ea1, PA:ea1, NP:am1.4.1, MP:ea1	am2.1:22-009329-001:PB2, am1.2:22-010085-001:PB1, am1.1:22-010085-001:NS, ea1:22-003707-003:NA, ea1:22-003707-003:PA, ea1:EPI-ISL-20215425:HA, am1.4.1:22-009329-001:NP, ea1:22-003707-003:MP	99.25%, 98.94%, 99.17%, 99.36%, 99.44%, 97.86%, 99.20%, 99.19%	17, 24, 7, 9, 12, 38, 12, 8	Ran on FASTA - No Coverage Report	2026-06-01_16-10-15
